company,city,website,founder_name,founder_contact_masked,source,source_page,also_seen_in,founder_snippet,email,phone,website_source
Aegis Rider AG,,https://aegisrider.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"r, the most promising tech on the market. HÃ©lder Loureiro, CEO of Nexx Nexx Aegis Rider is poised to fundamentally chan",NOT FOUND,0294582193,
AICA SA,,https://www.aica.tech/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,user@domain.com,0277638538,
AI Medical AG,,https://www.ai-medical.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,support@ai-medical.ch,00000026 50,
Akina AG,,https://www.akina.health/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,0068307469,
Alter Ego Technologies AG,,https://www.alter-ego.ai/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
Annaida Technologies SA,,https://annaida.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@annaida.ch,0742257010,
Artiria Medical SA,,https://artiria-medical.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,ith a team of passionates Guillaume Petit-Pierre CEO and Co-Founder Marc Boers COO and Co-Founder Julien Cevey Quality M,NOT FOUND,0173125287,
Ascento AG,,https://www.ascento.ai/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,00532341 20,
ASTRA Therapeutics GmbH,,https://www.astratherapeutics.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,media@astratherapeutics.com,NOT FOUND,
Avelo AG,,https://www.avelolife.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,hello@avelolife.com,+41435883344,
Cellestia Biotech AG,,https://www.cellestia.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
CondenZero GmbH,,https://condenzero.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"d condenZero Get in touch Our Team Dr. Denys Sutter CEO, co-founder Dominik Biscette CTO, co-founder Damian Bucher Techn",NOT FOUND,NOT FOUND,
Decentralized Intelligence AG,,https://d23e.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,contact@d23e.ch,NOT FOUND,
DEEPLIGHT SA,,https://deeplight.pro/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@ben4digital.ch,NOT FOUND,
Egonym AG,,https://egonym.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"es 30 unter 30: Egonym auf Schweizer-Liste Lukas Vordemann, CEO of Egonym is 2024 Listmaker on Forbes 30 under 30 list.",NOT FOUND,0955268670,
FenX AG,,https://www.fenx.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,contact@fenx.ch,NOT FOUND,
Floating Robotics AG,,https://www.floatingrobotics.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
Glucoloop AG,,https://glucoloop.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@glucoloop.com,+41 31 503 58 98,
Irmos technologies AG,,https://www.irmos-tech.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,0000595092,
Jua.ai AG,,https://www.jua.ai/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
LifeMatrix Technologies AG,,https://www.lifematrixtechnologies.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"ificant award for young companies. Read More EACTS 2021 Our CEO, Maximilian Emmert gives an interview in the EACTS News",605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress,00000026 50,
Linia AG,,https://ttps//www.linia.ch/index.html,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
MeduSoil SA,,https://www.medusoil.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,nicolas@medusoil.com,079 174 12 47,
Miraex SA,,https://www.miraex.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@miraex.com,+41 77 406 28 16,
Navignostics AG,,https://www.navignostics.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"ty data in clinical research. Michael Egholm, President and CEO of Standard BioTools Interested in partnering with us? L",info@navignostics.com,0713664621,
Neutrality Sàrl,,https://neutrality.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,contact@neutrality.ch,+41 22 839 63 00,
Rapidata AG,,https://www.rapidata.ai/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"eal contexts worldwide — in days, not months. Lily Clifford CEO of Rime Rapidata not only helps us evaluate the model at",info@rapidata.ai,NOT FOUND,
Sanetics AG,,https://sanetics.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@sanetics.ch,0284696588,
Seprify AG (Impossible Materials AG),,https://seprify.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@seprify.com,NOT FOUND,
SmartHelio Sàrl,,https://smarthelio.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
Terapet SA,,https://terapet.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@terapet.ch,NOT FOUND,
TOLREMO therapeutics AG,,https://www.tolremo.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,user@domain.com,0897260287,
Topadur Pharma AG,,https://www.topadur.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"o continue pushing the frontiers of innovation.« Reto Naef, Founder & President About us Science Pipeline Partnering & I",info@topadur.com,NOT FOUND,
TOSA swisstech SA,,https://www.tosa-swisstech.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@tosa-swisstech.ch,0762612874,
UniSieve AG,,https://www.unisieve.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress,0000999999,
Vandria SA,,https://www.vandria.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"e disorder, and other diseases of the CNS.” Klaus Dugi, MD, CEO of Vandria Investors The company has raised $32M Seed an",NOT FOUND,0887324921,
Zaamigo AG,,https://zaamigo.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
DropGen,,https://www.dropgen.ch,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Fy Cappa Biologics,,https://www.fcbiologics.com/,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress,NOT FOUND,
Myria Biosciences,,https://www.myria.bio,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,user@domain.com,0019636061,
Engimmune Therapeutics,,https://www.engimmune.com,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,press@engimmune.com,0223337494,
Pattern BioSciences,,https://www.patternbio.com,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,some of the most revolutionary..... Keller Rinaudo Cliffton Founder and CEO of Zipline Pattern Biosciences We build DNA,info@patternbio.com,0666666666,
Visium,,https://visium.ch,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,"e ideas that align perfectly with our strategy. René Kohler CEO We started with a very primitive, hacky prototype, and w",NOT FOUND,0170748221,
www.unitelabs.ch,,http://www.unitelabs.ch,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,NOT FOUND,NOT FOUND,
MaxWell Biosystems AG,,https://www.mxwbio.com,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,info@mxwbio.com,0117127703,
Shift Cryptosecurity,,https://bitbox.swiss,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,support@bitbox.swiss,0000000000,
enGene Statistics,,https://www.engene.ch,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,logo-engene-@2.png,NOT FOUND,
Memo Therapeutics,,https://memo-therapeutics.com,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,corporate.communications@ipsen.com,NOT FOUND,
FGen,,https://www.fgen.ch,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,email@email.com,00320084 19,
BioVersys AG,,https://www.bioversys.com,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,NOT FOUND,+41616332250,
InSphero AG,,https://insphero.com,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,NOT FOUND,+41 44 515 04 90,
Zurich Instruments,,https://www.zhinst.com/ch/en,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,NOT FOUND,0821121256,
"DownloadDownload (PDF, 2.7 MB)",,https://ethz.ch/content/dam/ethz/special-interest/bsse/department/Misc_PDFs/ETH_Biosystems_Image_Brochure_586x190_20250929_newEdition_Pages.pdf,,,ETH Zurich (BSSE),https://bsse.ethz.ch/department/spin-offs.html,,NOT FOUND,NOT FOUND,0680117407,
Circelec,,https://circelec.com/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,NOT FOUND,NOT FOUND,0784313725,
InSituMetrix,,https://www.insitumetrix.com/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,NOT FOUND,user@domain.com,NOT FOUND,
Hikane,,https://www.hikane.com/en/home,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,ss and European regulations Merci ! Our team Antoine Perrin CEO Tristan Tarasi CFO Gianna Crovetto CTO Raphaël Ausilio A,user@domain.com,0604076575,
Protonica,,https://www.protonica.ch/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,"celerators—vital for hadron therapy. ” Veronica Leccese, Co-Founder @ Protonica / Advantages Outstanding performance, ea",contact@protonica.ch,+41327205111,
Raven Robotics,,http://www.ravenrobotics.ch/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,NOT FOUND,info@ravenisystems.com,NOT FOUND,
Rhonexum,,https://www.rhonexum.com/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,NOT FOUND,contact@rhonexum.com,+41789671030,
Syre.ai,,https://www.syre.ai/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,NOT FOUND,info@syre.ai,0212765957,
Timely,,https://timely-learning.com/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,NOT FOUND,NOT FOUND,NOT FOUND,
MoleSense,,https://www.molesense.ch/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,NOT FOUND,contact@molesense.ch,NOT FOUND,
MyJoint,,https://www.linkedin.com/company/optizonesport/,,,EPFL,https://www.epfl.ch/innovation/startup/discover-our-startups/epfl-startup-in-creation/,,"followers 2mo Report this post What happens when visionary founders, breakthrough technologies and ambitious investors",NOT FOUND,0242191832,
Polypheny GmbH,,https://polypheny.com,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@polypheny.com,NOT FOUND,
Therayou AG,,https://www.therayou.ch,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Povanhu GmbH,,https://www.povanhu.com,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@povanhu.com,0531445389,
Inodexa GmbH,,https://www.inodexa.com,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@inodexa.ch,0526315789,
Basilea Media GmbH,,https://basileamedia.com,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,florian@basileamedia.com,+41798525689,
POC App AG,,https://www.poc-app.ch,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@website.com,0000999999,
Dentexion,,https://dentexion.com,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,"detection. Our Team Linkedin Youtube Dennis Madsen CEO, Co-Founder Linkedin Paulo Fontes CTO/COO, Co-Founder Support Co",NOT FOUND,NOT FOUND,
Moonlight AI,,https://www.moonlight-ai.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,"Engineering from Stanford University. ​ Christian Ruiz, PhD CEO/CSO (Chief Executive Officer) - Leader in Diagnostics wi",info@moonlight-ai.com,0000999999,
Narrowin,,https://www.narrowin.ch/de/index.html,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@narrowin.ch,NOT FOUND,
Kuori,,https://kuori.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,johnsmith@example.com,0318949343,
SEAL Therapeutics,,https://www.biozentrum.unibas.ch/research/technology-ventures/overview-3,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,+41 61 207 09 74,
Mynatix AG,,https://mynatix.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@mynatix.com,+41 61 524 24 00,
Zysthera,,https://www.zysthera.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Calingo Insurances,,https://www.calingo.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,04117684 72,
Bottneuro,,https://www.bottneuro.ch/en,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Personalized Medical Products,,https://swiss-pmp.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Aukera therapeutics,,https://www.aukera.ch,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,lt for complex and hard-to-drug targets. Team Stefan Imseng Chief Executive Officer Andreas MÃ¼hlemann Head of Biology J,NOT FOUND,0317090710,
Galvita,,https://www.galvita.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Codonis,,https://codonis.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Voltiris,,https://www.voltiris.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,0100000411,
Lean Financial Solutions,,https://leafs.ch/en/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Keine Agentur,,https://keineagentur.info/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Artifex Medical,,https://artifex.health/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,cropped-ArtiFexIcon@2x-32x32.png,NOT FOUND,
CryoWrite,,https://cryowrite.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@cryowrite.com,0223337494,
Cimeio Therapeutics,,https://www.cimeio.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,"r application of our technology. { Lukas Jeker, M.D., Ph.D. Founder, SVP Gene Editing Technology Cell Shielding We use g",CIMEIO-logo-horizaontal@2x.png,+41615772316,
Consense Philanthropy Consulting,,https://www.aboutconsense.ch,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,contact@teamconsense.ch,0034144382,
Rekonas,,https://www.rekonas.com,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,your@email.com,+41 61 589 67 71,
Prosalute,,https://www.prosalute.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,061 554 33 43,
Dedomena,,https://www.dedomena.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Saluta Coach,,https://www.salutacoach.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,cropped-SalutaCoach-Logo-RGB@2x.png,NOT FOUND,
Bottmedical,,https://www.bottmedical.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Acthera,,https://acthera-therapeutics.com,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Deep Breath Intelligence,,https://dbi.ch/home,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@dbi.ch,NOT FOUND,
Nuonex,,https://nuonex.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Ad Mirabiles,,https://www.admirabiles.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@admirabiles.com,0000999999,
KetoSwiss,,https://www.keto.swiss/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@keto.swiss,00000026 50,
QNAMI,,https://qnami.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,"and scalable solution for one of our products. Sella Brosh CEO Nvision Imaging Technologies For us, the ProteusQ device",contact@qnami.ch,+41 61 511 89 60,
